TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,12,3,9,0.25,48.0,110.6,34.9,0.711,8.1,6.1,23.7,16.9,17.7,46.2,10,27,24,27,19,23,14,23,10,7,30,28,29,11,10,Atlanta Hawks
1610612738,Boston Celtics,12,7,5,0.583,48.4,102.6,36.4,0.745,6.8,5.3,13.4,12.3,10.8,45.2,10,8,8,9,7,2,5,6,22,19,1,13,3,6,10,Boston Celtics
1610612751,Brooklyn Nets,13,6,7,0.462,48.4,109.8,32.5,0.683,6.6,4.8,19.5,16.6,11.2,44.2,2,14,19,19,18,22,24,28,25,23,26,27,4,5,10,Brooklyn Nets
1610612766,Charlotte Hornets,12,6,6,0.5,48.4,107.4,34.6,0.734,6.6,6.4,15.3,12.5,13.6,49.2,10,14,13,15,7,14,16,11,26,4,5,15,14,18,10,Charlotte Hornets
1610612741,Chicago Bulls,13,4,9,0.308,49.2,111.3,34.0,0.695,6.9,5.6,17.4,13.5,12.4,45.4,2,22,24,24,2,26,17,27,18,15,17,18,9,9,10,Chicago Bulls
1610612739,Cleveland Cavaliers,12,1,11,0.083,48.0,114.3,31.1,0.733,7.4,2.3,19.0,12.5,15.3,52.0,10,30,30,30,19,29,27,12,16,30,23,15,19,27,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,12,4,8,0.333,48.4,111.1,33.5,0.754,6.5,4.8,19.0,11.0,15.5,43.8,10,22,23,23,7,24,19,4,28,24,23,2,22,4,10,Dallas Mavericks
1610612743,Denver Nuggets,12,9,3,0.75,48.4,102.5,35.8,0.763,8.5,5.0,16.6,12.1,12.4,48.2,10,3,3,3,7,1,10,2,8,20,12,12,10,14,10,Denver Nuggets
1610612765,Detroit Pistons,11,6,5,0.545,49.4,105.8,36.4,0.769,6.7,3.9,15.4,11.2,11.3,49.3,27,14,8,13,1,8,6,1,23,27,7,4,5,20,10,Detroit Pistons
1610612744,Golden State Warriors,13,11,2,0.846,48.0,108.1,36.2,0.726,7.7,6.0,17.5,12.4,13.2,48.0,2,2,2,2,19,15,7,16,15,9,18,14,13,13,10,Golden State Warriors
1610612745,Houston Rockets,11,4,7,0.364,48.0,109.1,30.8,0.717,8.7,6.1,15.5,12.0,11.6,50.5,27,22,19,22,19,19,29,21,5,6,9,11,7,23,10,Houston Rockets
1610612754,Indiana Pacers,13,8,5,0.615,48.0,104.7,32.4,0.719,8.6,5.3,15.6,10.8,13.7,40.0,2,6,8,8,19,6,25,18,6,18,10,1,15,1,10,Indiana Pacers
